iter	Passed	Remaining
264	395	1097
265	396	1095
266	397	1092
267	398	1089
268	399	1086
269	400	1083
270	401	1079
271	402	1076
272	402	1073
273	403	1070
274	404	1067
275	405	1064
276	406	1061
277	407	1058
278	408	1055
279	409	1052
280	410	1049
281	411	1046
282	412	1044
283	413	1042
284	414	1039
285	415	1036
286	416	1033
287	417	1032
288	418	1029
289	419	1026
290	420	1023
291	421	1020
292	421	1018
293	422	1015
294	423	1012
295	424	1009
296	425	1007
297	426	1005
298	428	1003
299	428	1000
300	429	998
301	430	995
302	431	992
303	432	989
304	433	987
305	434	984
306	435	982
307	435	979
308	436	976
309	437	974
310	438	971
311	439	968
312	440	966
313	441	964
314	442	962
315	443	959
316	444	956
317	444	954
318	445	952
319	446	949
320	447	946
321	448	944
322	449	941
323	449	938
324	450	936
325	451	933
326	452	930
327	453	928
328	453	925
329	454	923
330	455	921
331	456	919
332	457	917
333	458	914
334	459	912
335	460	909
336	461	907
337	461	904
338	462	902
339	463	899
340	464	897
341	465	894
342	465	892
343	466	890
344	467	887
345	468	885
346	469	883
347	470	881
348	471	879
349	472	876
350	473	874
351	474	872
352	474	870
353	475	868
354	476	866
355	477	864
356	478	862
357	479	859
358	480	857
359	481	855
360	481	852
361	482	850
362	483	848
363	484	846
364	485	844
365	485	841
366	486	839
367	487	837
368	488	835
369	489	833
370	490	830
371	491	828
372	491	826
373	492	824
374	493	822
375	494	820
376	495	818
377	496	816
378	496	814
379	497	811
380	498	809
381	499	807
382	500	806
383	501	804
384	502	802
385	503	800
386	503	797
387	504	795
388	505	793
389	506	791
390	506	789
391	507	787
392	508	785
393	509	783
394	509	781
395	510	778
396	511	776
397	512	774
398	513	773
399	514	771
400	515	769
401	516	767
402	516	765
403	517	763
404	518	762
405	519	760
406	520	758
407	521	756
408	522	754
409	523	752
410	523	750
411	524	748
412	525	746
413	526	744
414	527	743
415	528	741
416	529	739
417	529	737
418	530	735
419	531	734
420	532	732
421	533	730
422	533	728
423	534	726
424	535	724
425	536	722
426	537	720
427	537	718
428	538	716
429	539	715
430	540	713
431	541	711
432	541	709
433	542	707
434	543	705
435	544	704
436	545	702
437	545	700
438	546	698
439	547	696
440	548	694
441	548	692
442	549	691
443	550	689
444	551	687
445	551	685
446	552	683
447	553	681
448	554	680
449	555	678
450	555	676
451	556	674
452	557	673
453	558	671
454	559	670
455	560	668
456	560	666
457	561	664
458	562	662
459	563	661
460	564	659
461	564	657
462	565	656
463	566	654
464	567	652
465	568	650
466	568	649
467	569	647
468	570	645
469	571	644
470	572	642
471	572	640
472	573	639
473	574	637
474	575	635
475	575	633
476	576	632
477	577	630
478	578	628
479	578	627
480	579	625
